2	[103, 0, 66, 26]	[15, 9, 2, 7]	0
13	[94, 16, 0, 140]	[12, 15, 9, 8]	4
14	[0, 36, 41, 135]	[8, 13, 11, 13]	7
16	[248, 20, 0, 30]	[1, 11, 15, 2]	11
19	[240, 60, 58, 0]	[10, 1, 5, 13]	7
23	[0, 184, 53, 97]	[12, 2, 10, 10]	6
36	[202, 0, 181, 237]	[9, 14, 7, 4]	14
38	[158, 146, 49, 0]	[0, 9, 0, 0]	12
50	[123, 0, 56, 112]	[5, 6, 6, 9]	12
53	[0, 143, 252, 40]	[8, 1, 11, 12]	15
54	[142, 115, 0, 184]	[13, 2, 4, 13]	9
61	[0, 174, 8, 118]	[14, 12, 5, 11]	1
78	[60, 0, 66, 160]	[12, 14, 3, 14]	12
80	[232, 146, 0, 28]	[7, 14, 7, 10]	0
81	[0, 71, 34, 216]	[1, 5, 14, 11]	8
95	[0, 151, 79, 219]	[10, 2, 8, 9]	4
99	[3, 7, 0, 87]	[6, 8, 12, 9]	2
106	[42, 113, 0, 47]	[12, 12, 15, 1]	7
109	[138, 200, 0, 242]	[6, 15, 6, 4]	6
116	[148, 0, 105, 190]	[14, 9, 0, 0]	6
117	[85, 0, 137, 60]	[12, 14, 8, 6]	1
123	[0, 38, 70, 31]	[12, 8, 5, 9]	11
124	[0, 62, 12, 160]	[2, 2, 3, 3]	7
126	[180, 52, 156, 0]	[2, 7, 11, 5]	2
129	[0, 216, 154, 31]	[11, 12, 4, 11]	15
132	[0, 52, 104, 220]	[15, 8, 12, 4]	0
134	[136, 27, 0, 104]	[2, 2, 7, 3]	10
135	[204, 215, 145, 0]	[13, 8, 12, 6]	5
138	[0, 171, 50, 46]	[2, 3, 1, 3]	9
140	[227, 49, 226, 0]	[3, 11, 15, 14]	9
141	[98, 243, 151, 0]	[7, 1, 13, 14]	14
142	[102, 254, 36, 0]	[9, 9, 11, 5]	12
146	[0, 127, 138, 175]	[0, 1, 11, 8]	6
167	[0, 74, 72, 176]	[2, 11, 4, 14]	3
170	[0, 129, 210, 100]	[12, 9, 12, 14]	1
171	[60, 8, 0, 13]	[13, 10, 10, 3]	14
172	[11, 212, 231, 0]	[9, 15, 2, 10]	6
189	[237, 158, 0, 59]	[7, 7, 8, 6]	3
190	[215, 150, 15, 0]	[0, 3, 10, 6]	7
201	[102, 0, 112, 60]	[3, 7, 9, 12]	14
205	[142, 186, 157, 0]	[3, 6, 14, 3]	13
216	[0, 27, 133, 234]	[8, 9, 0, 12]	3
219	[162, 176, 230, 0]	[9, 6, 4, 0]	4
222	[5, 76, 27, 0]	[9, 4, 3, 3]	4
226	[28, 242, 0, 132]	[1, 2, 8, 6]	12
229	[0, 154, 21, 212]	[7, 13, 10, 10]	7
238	[0, 67, 12, 239]	[15, 8, 10, 1]	13
240	[0, 200, 203, 228]	[5, 14, 3, 12]	7
247	[202, 191, 0, 136]	[6, 10, 13, 0]	0
248	[0, 109, 45, 156]	[10, 14, 6, 11]	7
254	[121, 226, 0, 52]	[2, 4, 0, 0]	1
256	[191, 84, 0, 38]	[4, 3, 7, 10]	4
260	[171, 0, 251, 242]	[11, 0, 4, 12]	6
265	[242, 0, 138, 240]	[2, 8, 5, 15]	5
266	[100, 0, 203, 122]	[15, 3, 13, 0]	1
272	[177, 190, 146, 0]	[4, 2, 10, 14]	9
276	[235, 0, 145, 222]	[13, 2, 15, 4]	1
278	[47, 92, 214, 0]	[14, 13, 6, 15]	14
287	[0, 28, 179, 223]	[12, 0, 14, 2]	14
288	[177, 0, 58, 109]	[10, 3, 3, 11]	10
292	[0, 222, 251, 56]	[14, 5, 13, 11]	14
301	[193, 226, 4, 0]	[10, 8, 6, 7]	12
305	[242, 0, 241, 76]	[15, 11, 11, 14]	3
310	[0, 235, 115, 134]	[14, 10, 2, 14]	4
316	[0, 80, 112, 201]	[6, 10, 12, 9]	14
325	[141, 144, 215, 0]	[0, 8, 14, 8]	14
328	[0, 8, 22, 101]	[8, 4, 13, 0]	9
329	[142, 0, 216, 10]	[5, 11, 1, 15]	3
330	[190, 163, 229, 0]	[4, 15, 10, 2]	15
341	[233, 117, 0, 196]	[6, 7, 13, 1]	2
348	[83, 253, 227, 0]	[5, 11, 15, 4]	10
350	[44, 219, 132, 0]	[6, 6, 6, 8]	11
353	[166, 3, 0, 134]	[15, 4, 5, 8]	6
356	[0, 181, 242, 77]	[7, 5, 10, 15]	12
359	[33, 78, 118, 0]	[6, 6, 10, 0]	11
380	[130, 107, 14, 0]	[14, 10, 15, 3]	1
389	[0, 94, 62, 131]	[12, 8, 3, 8]	1
399	[167, 48, 0, 9]	[14, 6, 9, 14]	4
404	[0, 47, 15, 10]	[15, 7, 3, 2]	3
405	[128, 0, 163, 127]	[5, 8, 2, 6]	6
410	[22, 7, 0, 68]	[4, 3, 9, 2]	0
411	[32, 143, 0, 234]	[5, 7, 13, 0]	6
412	[28, 224, 80, 0]	[15, 7, 11, 6]	2
418	[38, 0, 200, 114]	[4, 14, 2, 7]	2
420	[65, 245, 0, 3]	[2, 13, 12, 9]	4
440	[5, 0, 152, 121]	[11, 7, 9, 3]	1
441	[0, 87, 197, 84]	[3, 9, 6, 4]	3
457	[0, 248, 51, 62]	[1, 10, 1, 6]	3
463	[99, 0, 248, 162]	[14, 3, 8, 0]	11
466	[0, 129, 176, 105]	[0, 1, 15, 3]	9
467	[104, 109, 147, 0]	[3, 13, 6, 7]	2
482	[0, 234, 249, 196]	[11, 1, 6, 14]	5
483	[146, 107, 178, 0]	[6, 1, 15, 15]	10
492	[0, 213, 192, 74]	[15, 12, 2, 9]	8
495	[226, 0, 31, 222]	[10, 2, 10, 7]	12
499	[0, 174, 184, 149]	[14, 5, 13, 12]	12
504	[78, 41, 46, 0]	[10, 13, 10, 7]	0
517	[60, 77, 0, 200]	[4, 13, 0, 14]	12
521	[0, 55, 108, 75]	[7, 7, 12, 5]	7
522	[89, 0, 162, 40]	[14, 10, 6, 8]	6
526	[58, 2, 85, 0]	[5, 10, 6, 2]	2
527	[117, 205, 2, 0]	[11, 5, 11, 15]	5
540	[0, 101, 191, 114]	[6, 10, 15, 14]	0
541	[34, 143, 0, 80]	[13, 10, 14, 10]	7
550	[0, 12, 135, 27]	[7, 0, 14, 14]	15
562	[205, 175, 151, 0]	[3, 12, 13, 2]	6
565	[228, 153, 200, 0]	[3, 3, 10, 9]	15
582	[29, 0, 209, 250]	[9, 11, 9, 4]	0
586	[171, 141, 64, 0]	[15, 0, 11, 15]	15
587	[226, 0, 178, 11]	[5, 6, 4, 14]	8
590	[20, 154, 137, 0]	[7, 4, 6, 3]	8
592	[0, 231, 187, 140]	[11, 7, 7, 0]	4
