[186, 109, 0, 93]
[0, 4, 3, 15]
[0, 4, 11, 15]
[0, 6, 4, 2]
[0, 6, 12, 2]
[0, 9, 5, 5]
[0, 9, 13, 5]
[0, 10, 8, 9]
[0, 10, 0, 9]
[0, 13, 5, 8]
[0, 13, 7, 9]
[0, 13, 13, 8]
[0, 13, 15, 9]
[0, 14, 3, 3]
[0, 14, 11, 3]
[0, 3, 4, 9]
[0, 3, 7, 10]
[0, 3, 12, 9]
[0, 3, 15, 10]
[1, 4, 4, 5]
[1, 4, 4, 9]
[1, 4, 12, 5]
[1, 4, 12, 9]
[1, 8, 8, 1]
[1, 8, 0, 1]
[1, 11, 9, 13]
[1, 11, 1, 13]
[1, 12, 7, 11]
[1, 12, 15, 11]
[1, 1, 7, 7]
[1, 1, 15, 7]
[1, 2, 7, 2]
[1, 2, 15, 2]
[1, 3, 4, 6]
[1, 3, 5, 6]
[1, 3, 12, 6]
[1, 3, 13, 6]
[2, 4, 4, 15]
[2, 4, 12, 15]
[2, 5, 5, 8]
[2, 5, 8, 5]
[2, 5, 13, 8]
[2, 5, 0, 5]
[2, 7, 3, 1]
[2, 7, 4, 1]
[2, 7, 11, 1]
[2, 7, 12, 1]
[2, 10, 3, 4]
[2, 10, 3, 12]
[2, 10, 11, 4]
[2, 10, 11, 12]
[2, 13, 4, 14]
[2, 13, 12, 14]
[2, 15, 6, 7]
[2, 15, 9, 13]
[2, 15, 14, 7]
[2, 15, 1, 13]
[3, 7, 5, 3]
[3, 7, 9, 12]
[3, 7, 13, 3]
[3, 7, 1, 12]
[3, 10, 9, 1]
[3, 10, 1, 1]
[3, 11, 5, 15]
[3, 11, 13, 15]
[3, 12, 3, 6]
[3, 12, 11, 6]
[3, 13, 5, 12]
[3, 13, 6, 15]
[3, 13, 13, 12]
[3, 13, 14, 15]
[3, 14, 4, 11]
[3, 14, 12, 11]
[3, 0, 7, 1]
[3, 0, 15, 1]
[3, 2, 5, 14]
[3, 2, 13, 14]
[4, 4, 2, 7]
[4, 4, 10, 7]
[4, 7, 9, 0]
[4, 7, 1, 0]
[4, 8, 3, 5]
[4, 8, 11, 5]
[4, 9, 6, 14]
[4, 9, 8, 8]
[4, 9, 14, 14]
[4, 9, 0, 8]
[4, 10, 6, 8]
[4, 10, 14, 8]
[4, 13, 9, 0]
[4, 13, 1, 0]
[4, 14, 2, 4]
[4, 14, 5, 14]
[4, 14, 10, 4]
[4, 14, 13, 14]
[4, 15, 9, 3]
[4, 15, 1, 3]
[4, 0, 7, 0]
[4, 0, 15, 0]
[4, 3, 7, 15]
[4, 3, 15, 15]
[5, 6, 8, 6]
[5, 6, 0, 6]
[5, 7, 4, 9]
[5, 7, 12, 9]
[5, 8, 3, 12]
[5, 8, 11, 12]
[5, 11, 5, 0]
[5, 11, 13, 0]
[5, 12, 4, 8]
[5, 12, 9, 9]
[5, 12, 12, 8]
[5, 12, 1, 9]
[5, 14, 5, 1]
[5, 14, 13, 1]
[5, 3, 9, 6]
[5, 3, 9, 0]
[5, 3, 1, 6]
[5, 3, 1, 0]
[6, 5, 3, 2]
[6, 5, 4, 6]
[6, 5, 11, 2]
[6, 5, 12, 6]
[6, 7, 4, 1]
[6, 7, 12, 1]
[6, 9, 4, 5]
[6, 9, 12, 5]
[6, 10, 8, 2]
[6, 10, 0, 2]
[6, 11, 5, 14]
[6, 11, 13, 14]
[6, 14, 2, 2]
[6, 14, 10, 2]
[6, 15, 7, 6]
[6, 15, 15, 6]
[6, 0, 9, 0]
[6, 0, 1, 0]
[6, 1, 2, 14]
[6, 1, 10, 14]
[6, 3, 3, 1]
[6, 3, 11, 1]
[7, 5, 9, 0]
