2	[103, 0, 66, 26]	[15, 9, 2, 7]	2
13	[94, 16, 0, 140]	[12, 15, 9, 8]	2
14	[0, 36, 41, 135]	[8, 13, 11, 13]	2
16	[248, 20, 0, 30]	[1, 11, 15, 2]	4
19	[240, 60, 58, 0]	[10, 1, 5, 13]	14
23	[0, 184, 53, 97]	[12, 2, 10, 10]	10
36	[202, 0, 181, 237]	[9, 14, 7, 4]	6
38	[158, 146, 49, 0]	[0, 9, 0, 0]	3
50	[123, 0, 56, 112]	[5, 6, 6, 9]	12
53	[0, 143, 252, 40]	[8, 1, 11, 12]	12
54	[142, 115, 0, 184]	[13, 2, 4, 13]	12
61	[0, 174, 8, 118]	[14, 12, 5, 11]	5
78	[60, 0, 66, 160]	[12, 14, 3, 14]	0
80	[232, 146, 0, 28]	[7, 14, 7, 10]	3
81	[0, 71, 34, 216]	[1, 5, 14, 11]	6
95	[0, 151, 79, 219]	[10, 2, 8, 9]	10
99	[3, 7, 0, 87]	[6, 8, 12, 9]	11
106	[42, 113, 0, 47]	[12, 12, 15, 1]	3
109	[138, 200, 0, 242]	[6, 15, 6, 4]	0
116	[148, 0, 105, 190]	[14, 9, 0, 0]	5
117	[85, 0, 137, 60]	[12, 14, 8, 6]	13
123	[0, 38, 70, 31]	[12, 8, 5, 9]	12
124	[0, 62, 12, 160]	[2, 2, 3, 3]	8
126	[180, 52, 156, 0]	[2, 7, 11, 5]	11
129	[0, 216, 154, 31]	[11, 12, 4, 11]	8
132	[0, 52, 104, 220]	[15, 8, 12, 4]	1
134	[136, 27, 0, 104]	[2, 2, 7, 3]	10
135	[204, 215, 145, 0]	[13, 8, 12, 6]	3
138	[0, 171, 50, 46]	[2, 3, 1, 3]	10
140	[227, 49, 226, 0]	[3, 11, 15, 14]	6
141	[98, 243, 151, 0]	[7, 1, 13, 14]	13
142	[102, 254, 36, 0]	[9, 9, 11, 5]	7
146	[0, 127, 138, 175]	[0, 1, 11, 8]	4
167	[0, 74, 72, 176]	[2, 11, 4, 14]	0
170	[0, 129, 210, 100]	[12, 9, 12, 14]	13
171	[60, 8, 0, 13]	[13, 10, 10, 3]	2
172	[11, 212, 231, 0]	[9, 15, 2, 10]	9
189	[237, 158, 0, 59]	[7, 7, 8, 6]	0
190	[215, 150, 15, 0]	[0, 3, 10, 6]	12
201	[102, 0, 112, 60]	[3, 7, 9, 12]	3
205	[142, 186, 157, 0]	[3, 6, 14, 3]	0
216	[0, 27, 133, 234]	[8, 9, 0, 12]	10
219	[162, 176, 230, 0]	[9, 6, 4, 0]	9
222	[5, 76, 27, 0]	[9, 4, 3, 3]	15
226	[28, 242, 0, 132]	[1, 2, 8, 6]	12
229	[0, 154, 21, 212]	[7, 13, 10, 10]	9
238	[0, 67, 12, 239]	[15, 8, 10, 1]	3
240	[0, 200, 203, 228]	[5, 14, 3, 12]	2
247	[202, 191, 0, 136]	[6, 10, 13, 0]	10
248	[0, 109, 45, 156]	[10, 14, 6, 11]	14
254	[121, 226, 0, 52]	[2, 4, 0, 0]	10
256	[191, 84, 0, 38]	[4, 3, 7, 10]	3
260	[171, 0, 251, 242]	[11, 0, 4, 12]	13
265	[242, 0, 138, 240]	[2, 8, 5, 15]	9
266	[100, 0, 203, 122]	[15, 3, 13, 0]	1
272	[177, 190, 146, 0]	[4, 2, 10, 14]	8
276	[235, 0, 145, 222]	[13, 2, 15, 4]	14
278	[47, 92, 214, 0]	[14, 13, 6, 15]	15
287	[0, 28, 179, 223]	[12, 0, 14, 2]	10
288	[177, 0, 58, 109]	[10, 3, 3, 11]	10
292	[0, 222, 251, 56]	[14, 5, 13, 11]	0
301	[193, 226, 4, 0]	[10, 8, 6, 7]	14
305	[242, 0, 241, 76]	[15, 11, 11, 14]	1
310	[0, 235, 115, 134]	[14, 10, 2, 14]	13
316	[0, 80, 112, 201]	[6, 10, 12, 9]	11
325	[141, 144, 215, 0]	[0, 8, 14, 8]	12
328	[0, 8, 22, 101]	[8, 4, 13, 0]	3
329	[142, 0, 216, 10]	[5, 11, 1, 15]	1
330	[190, 163, 229, 0]	[4, 15, 10, 2]	5
341	[233, 117, 0, 196]	[6, 7, 13, 1]	11
348	[83, 253, 227, 0]	[5, 11, 15, 4]	12
350	[44, 219, 132, 0]	[6, 6, 6, 8]	9
